bin,mean_predicted,mean_actual,n
"(-0.001, 0.1]",0.09407511327576272,0.0,5
"(0.1, 0.2]",0.15847054171613775,0.14516129032258066,434
"(0.2, 0.3]",0.25497191334590086,0.2586490939044481,607
"(0.3, 0.4]",0.34468935318468236,0.3522727272727273,880
"(0.4, 0.5]",0.45383031818511965,0.4471299093655589,662
"(0.5, 0.6]",0.5485765706571721,0.5671641791044776,603
"(0.6, 0.7]",0.6485815419611992,0.648989898989899,396
"(0.7, 0.8]",0.7466246106698294,0.7263922518159807,413
"(0.8, 0.9]",0.825078248528381,0.856,125
