removed_group,n_features,mean_log_loss,log_loss_increase_vs_full
none,20,0.9904678588701393,0.0
form,10,1.0164054453330444,0.025937586462905116
rest_days,18,0.992963822303533,0.0024959634333936442
table_position,18,0.9938136017545975,0.0033457428844582138
h2h,17,0.995781360586745,0.0053135017166057175
odds,17,1.0259091339550626,0.03544127508492323
