model,log_loss,brier_score,n_matches
bookmaker_baseline,0.9595175028207519,0.5685352444223277,4125
random_forest,0.9685279445883735,0.5740558378375592,4125
logistic_regression,0.9700033520012267,0.5728922157544629,4125
xgboost,0.9836393316149293,0.5825525296397565,4125
