bin,mean_predicted,mean_actual,n
"(-0.001, 0.1]",0.08973393821899706,0.16666666666666666,6
"(0.1, 0.2]",0.1654198943581147,0.12857142857142856,210
"(0.2, 0.3]",0.2503293537017089,0.23151750972762647,514
"(0.3, 0.4]",0.3580360716751244,0.34408602150537637,837
"(0.4, 0.5]",0.44594654103945763,0.43961772371850566,1151
"(0.5, 0.6]",0.5432031252863223,0.5575757575757576,660
"(0.6, 0.7]",0.6519747556535802,0.6698113207547169,424
"(0.7, 0.8]",0.735524464508089,0.7380191693290735,313
"(0.8, 0.9]",0.8202465973671644,0.6521739130434783,23
