model,point_diff,ci_low,ci_high,n_matches
logistic_regression,0.03419410812769985,0.02637963315883682,0.042812279648101886,4138
random_forest,0.03690982150799704,0.029664404813077458,0.04433606568711423,4138
xgboost,0.039725194456351476,0.03143530561721763,0.04779841133432785,4138
ensemble,0.03873536051435267,0.030982120222551677,0.046607254510213435,4138
