removed_group,n_features,mean_log_loss,log_loss_increase_vs_full
none,31,1.006997015164435,0.0
form,21,1.0117563183593534,0.004759303194918463
rest_days,29,1.0107910369763398,0.003794021811904802
table_position,29,1.0131444167459493,0.006147401581514389
h2h,28,1.0169833671785011,0.009986352014066169
