model,log_loss,brier_score,n_matches
bookmaker_baseline,0.9595160639957264,0.5686073177525246,4138
logistic_regression,0.9937101721234263,0.5899815279159403,4138
random_forest,0.9964258855037235,0.5934609537447186,4138
ensemble,0.9982514245100791,0.5944789511497389,4138
xgboost,0.9992412584520779,0.5951700863879514,4138
