feature,importance
odds_implied_home_prob,0.10144748826469356
odds_implied_away_prob,0.10021734567015766
odds_implied_draw_prob,0.07602109694577061
home_table_position,0.05396519733899716
home_form_pts_10,0.05250365331546007
away_form_pts_10,0.051686148427713664
away_table_position,0.04987909448455878
away_goals_conceded_5,0.0452928862593627
away_goals_scored_5,0.04429471570185634
home_goals_conceded_5,0.0437179512564528
home_goals_scored_5,0.04361936333708588
home_rest_days,0.04222634495703411
h2h_away_pts,0.04208637817092107
away_rest_days,0.041155277311511126
home_form_pts_5,0.04106132247214721
away_form_pts_5,0.04070617838916492
h2h_home_pts,0.04025166742145202
away_streak_before,0.03544408573684328
home_streak_before,0.035322990568496825
h2h_matches_count,0.01910081397032029
